"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","hope","citizen","year","will","one","time","world","time","freedom","nation","must","good","can","let","new"
"2","now","today","day","america","american","liberti","peac","live","free","everi","work","never","govern","power","great"
"3","help","presid","histori","make","peopl","act","nation","generat","right","american","children","earth","peopl","nation","respons"
"4","call","fellow","centuri","togeth","forc","mean","war","must","know","promis","american","word","now","hand","need"
"5","find","countri","stand","bring","million","thing","friend","futur","human","america","economi","voic","done","begin","better"
"6","best","ask","dream","resolv","anoth","spirit","come","believ","man","land","young","life","creat","strong","home"
"7","journey","celebr","god","back","strength","love","shall","chang","men","ideal","made","heart","take","unit","build"
"8","effort","oath","place","sacrific","countri","courag","preserv","well","just","democraci","famili","small","much","know","old"
"9","task","moment","may","confront","caus","life","share","face","long","faith","care","divis","individu","side","turn"
"10","struggl","justic","say","reform","use","age","continu","common","women","idea","job","speak","state","arm","challeng"
"11","support","thank","bless","fight","defend","upon","system","give","still","equal","protect","far","live","seek","reach"
"12","goal","yet","first","road","weapon","greater","stori","less","prosper","forward","valu","understand","feder","pledg","other"
"13","question","across","think","principl","industri","declar","pass","problem","digniti","interest","tax","rememb","societi","instead","way"
"14","though","honor","ago","accept","rais","determin","end","endur","choic","peopl","reduc","see","achiev","state","meet"
"15","answer","mani","two","wrong","seen","simpl","around","end","secur","born","yes","look","demand","join","progress"
"16","tyranni","congress","union","citizen","wealth","independ","greatest","today","toward","renew","opportun","god","without","weak","requir"
"17","mani","vice","whose","clear","weve","happi","new","last","move","everyon","put","triumph","trust","burden","away"
"18","countri","unit","father","mind","left","advanc","proud","enough","world","charact","hard","truli","time","offer","remain"
"19","enemi","taken","like","can","nuclear","want","limit","crisi","found","capit","can","like","growth","becom","past"
"20","compass","heart","never","rebuild","strive","polit","role","come","rule","civil","lead","man","spend","revolut","abroad"
